Hash: 003DFCC1, Key: Name, Value: A Hero's Reward
Hash: 0871A46B, Key: Toast, Value: Escape.
Hash: 9AC58840, Key: BreadcrumbHeader, Value: Slay the crazed villagers
Hash: FBB2C25B, Key: BreadcrumbDescription, Value: I awoke in a putrid barn strapped to a filthy table. Oswen was preparing to slit my throat when the holy man from the shed broke into the barn and set me free. Now we fight our way out.
Hash: A5EFB09D, Key: Phase26Description, Value: I awoke in a putrid barn lying on a filthy cart. Oswen was preparing to slit my throat when the holy man from the shed broke into the barn and set me free. Now we fight our way out.
Hash: 0BD2D685, Key: Phase26OutsideSubzoneHeader, Value: Speak with Iosef
Hash: A5CF923D, Key: Callback25Header, Value: Speak with Iosef
Hash: 6274A1FB, Key: Phase33Description, Value: I awoke in a putrid barn lying on a filthy cart. Oswen was preparing to slit my throat when the holy man from the shed broke into the barn and set me free. Now we fight our way out.
Hash: 8B5831A3, Key: Phase33OutsideSubzoneHeader, Value: Slay the crazed villagers
Hash: 9211671E, Key: Callback35Header, Value: Slay the crazed villagers
Hash: EBAA2C2D, Key: Callback115Header, Value: Loot the Chapel Key from Vani's corpse
