Hash: EAD29689, Key: Lorebook_Lore_Template, Value: Lore Template
Hash: CC5A6AD8, Key: Lorebook_Lore_DS4, Value: Festering Scripture
Hash: CC5A6AD9, Key: Lorebook_Lore_DS5, Value: Ravaged Journal
Hash: FBF2D1F9, Key: Lorebook_Lore_OrbeiJournal_01, Value: The Birth of Hell
Hash: CC5A6AD5, Key: Lorebook_Lore_DS1, Value: Formal Request
Hash: CC5A72F4, Key: Lorebook_Lore_FP1, Value: Vani's Journal
Hash: CC5A72F5, Key: Lorebook_Lore_FP2, Value: Specimen Notes
Hash: 7FA54448, Key: Lorebook_Lore_KeironsPyre, Value: Eriman's Plea
Hash: 92B09189, Key: QST_Scos_BrinyFate_BenenLetter, Value: Letter from Benen
Hash: 61FE1AD0, Key: Lorebook_DGN_Step_01, Value: Vardok’s Note
Hash: D761D2D7, Key: Lorebook_DGN_Kehj_20, Value: Silver Scroll
Hash: 61FE1AD2, Key: Lorebook_DGN_Step_03, Value: Kemir's Stockpile
Hash: 61FE1AD3, Key: Lorebook_DGN_Step_04, Value: Shredded Orders
Hash: 61FE1AD4, Key: Lorebook_DGN_Step_05, Value: Letter
Hash: 61FE1AD5, Key: Lorebook_DGN_Step_06, Value: Ammuit Acolyte's Journal
Hash: 61FE1AD6, Key: Lorebook_DGN_Step_07, Value: Crumpled Paper
Hash: 61FE1AD7, Key: Lorebook_DGN_Step_08, Value: Acrid Caverns
Hash: 61FE1AD8, Key: Lorebook_DGN_Step_09, Value: Orbei Scholar's Notes
Hash: 61FE1AF0, Key: Lorebook_DGN_Step_10, Value: Elias
Hash: 61FE1AF1, Key: Lorebook_DGN_Step_11, Value: War Chief’s Journal
Hash: 61FE1AF2, Key: Lorebook_DGN_Step_12, Value: Triune Decree
Hash: 61FE1AF3, Key: Lorebook_DGN_Step_13, Value: Mystic’s Journal
Hash: 61FE1AF4, Key: Lorebook_DGN_Step_14, Value: Survivor’s Journal
Hash: 61FE1AF5, Key: Lorebook_DGN_Step_15, Value: Blood-written Sermon
Hash: 61FE1AF6, Key: Lorebook_DGN_Step_16, Value: Bandit's Notes
Hash: 61FE1AF7, Key: Lorebook_DGN_Step_17, Value: Triune Missive
