Hash: 003DFCC1, Key: Name, Value: Fungal Remedies
Hash: 0871A46B, Key: Toast, Value: Assist Yolonda in healing those afflicted with the gut rot. 
Hash: D53BFF05, Key: Phase0Description, Value: Yolanda has asked that I travel to Pilgrim's Cave. The beasts there have a strange growth called Gano Fungus that will assist in curing gut rot. 
Hash: 1EADAE68, Key: Callback2Header, Value: Enter Pilgrim's Cave
Hash: C9FCD1EA, Key: Phase5Description, Value: Yolanda has asked that I travel to Pilgrim's Cave. The beasts there have a strange growth called Gano Fungus that will assist in curing gut rot. 
Hash: B8A227EA, Key: Callback4Header, Value: Collect {ITEM}: {DONE_OVER_NEEDED}
Hash: F4A9EC5A, Key: Phase14Description, Value: I should return to Yolanda now that I have obtained the Gano Fungus that she needs to treat gut rot. 
Hash: 1F9943DA, Key: Callback13Header, Value: Speak with Yolanda
Hash: E96ABF3F, Key: Phase19Description, Value: I should speak with the healer Yolanda outside of Wejinhani. Marta's sickness might have spread. 
Hash: A07C739F, Key: Callback18Header, Value: Speak with Yolanda
Hash: 74FC533C, Key: Phase25Description, Value: Yolanda has asked me to place the Gano Fungus in the mixture she made. I'll administer it to the sick once I'm done. 
Hash: 58D5557C, Key: Callback24Header, Value: Administer the medication to Thanak
Hash: F2C9CEFE, Key: Callback26Header, Value: Administer the medication to Jana
Hash: 38C9C8C0, Key: Phase29Description, Value: Yolanda has asked me to place the Gano Fungus in the mixture she made. I'll administer it to the sick once I'm done. 
Hash: 8CBE4880, Key: Callback28Header, Value: Add the {ITEM:QST_Hawe_Soulrot_Medicine} to the pot
Hash: DF0BA3DF, Key: Callback36Header, Value: Give Yolanda the medicine
