Hash: 003DFCC1, Key: Name, Value: Bound by Blood
Hash: 0871A46B, Key: Toast, Value: A pious man needs help with his unruly brother.
Hash: E2223B19, Key: Phase22Description, Value: Lacthan, a villager in Margrave, is looking for his brother who was implicated in a bandit attack on some merchants. Before we go to their last known location, we should ask around town to see if Perithan has come back. 
Hash: 71E69F39, Key: Callback21Header, Value: Speak with Priest Matvey
Hash: E9B1E11B, Key: Callback50Header, Value: Speak with Meridan
Hash: 58D5557C, Key: Callback24Header, Value: Speak with Guard Cvetko
Hash: B12CDF46, Key: Phase100Description, Value: Lacthan and I have entered the bandits lair in search of Perithan and answers.
Hash: 4F855768, Key: Callback99Header, Value: Enter Cutthroat's Escape and find Perithan
Hash: B1D1AD0A, Key: Phase122Description, Value: Lacthan recognized the dead bandit as someone Perithan knew.  He knows where they have their lair and is leading me to it.
Hash: A4030E0A, Key: Callback121Header, Value: Help Lacthan find the bandit hideout in Sinner's Chase
Hash: A6927FEF, Key: Phase127Description, Value: We have found what remains of the merchants' campsite.  I should search it for signs of Perithan and clues to what happened.
Hash: 24E63DCF, Key: Callback126Header, Value: Search the area for clues
Hash: 150401C6, Key: Phase89Description, Value: No one in Margrave has seen Perithan since he ventured out with the merchants.  Lacthan and I should investigate the merchants' campsite.
Hash: 164945C6, Key: Callback88Header, Value: Bring Lacthan to his brother's last known location
