Hash: DE04F8F3, Key: Line6.B539D, Value: Shake on it.
Hash: C4F3AF36, Key: Line9.B539D, Value: I'll work on that later.
Hash: BF26EA00, Key: Line12.B539D, Value: Hard bargain.
Hash: 400A19C6, Key: Line17.B539E, Value: Shake on it.
Hash: 11744560, Key: Line20.B539E, Value: I'll work on that later.
Hash: F862FBA3, Key: Line23.B539E, Value: Hard bargain.
Hash: 79463060, Key: Line28.B53A5, Value: Well struck.
Hash: C97C5C2D, Key: VoiceDir28.B53A5, Value: Quick. Nodding. Mild.
Hash: 4AB05BFA, Key: Line31.B53A5, Value: This will do nicely.
Hash: 319F123D, Key: Line34.B53A5, Value: I'll take it off your hands.
Hash: B282422E, Key: Line39.B53AA, Value: Well struck.
Hash: 02B86DFB, Key: VoiceDir39.B53AA, Value: Quick. Nodding. Pleased.
Hash: 83EC6DC8, Key: Line42.B53AA, Value: This will do nicely.
Hash: 6ADB240B, Key: Line45.B53AA, Value: I'll take it off your hands.
Hash: D639C8F9, Key: Line50.B53A3, Value: My stock thanks you.
Hash: BD287F3C, Key: Line53.B53A3, Value: I think I have space for that.
Hash: A417357F, Key: Line56.B53A3, Value: Someone will purchase this soon.
Hash: 0F75DA9C, Key: Line61.B53A4, Value: My stock thanks you.
Hash: 5FAC0669, Key: VoiceDir61.B53A4, Value: Quick. Nodding. Pleased.
Hash: F66490DF, Key: Line64.B53A4, Value: I think I have space for that.
Hash: DD534722, Key: Line67.B53A4, Value: Someone will purchase this soon.
Hash: BB2A0A8C, Key: Line94.B539F, Value: An equitable transaction.
Hash: A218C0CF, Key: Line97.B539F, Value: Much thanks, friend.
Hash: EF5801D0, Key: Line100.B539F, Value: Fine indeed.
Hash: 703B3687, Key: Line105.B53A0, Value: An equitable transaction.
Hash: 5729ECCA, Key: Line108.B53A0, Value: Much thanks, friend.
Hash: 28941864, Key: Line111.B53A0, Value: Fine indeed.
Hash: A977430A, Key: Line116.B5399, Value: Perhaps I'll put him out to stud.
Hash: 9065F94D, Key: Line119.B5399, Value: Been looking for this breed.
Hash: 61D024E7, Key: Line122.B5399, Value: A little care and she'll be right as rain. Thanks.
Hash: E2B354D4, Key: Line127.B539A, Value: Perhaps I'll put him out to stud.
Hash: B41D806E, Key: Line130.B539A, Value: Been looking for this breed.
Hash: 9B0C36B1, Key: Line133.B539A, Value: A little care and she'll be right as rain. Thanks.
Hash: 1BF0073A, Key: Line138.B682F, Value: It is a deal.
Hash: 72EBACA7, Key: VoiceDir138.B682F, Value: Quick. Nodding. Pleased.
Hash: ED5A32D4, Key: Line141.B682F, Value: Hm. Good price.
Hash: 4455D841, Key: VoiceDir141.B682F, Value: Quick. Nodding. Pleased.
Hash: D448E917, Key: Line144.B682F, Value: Very nice.
Hash: 2B448E84, Key: VoiceDir144.B682F, Value: Quick. Nodding. Pleased.
Hash: 552C18E8, Key: Line149.B6840, Value: It is a deal.
Hash: AC27BE55, Key: VoiceDir149.B6840, Value: Quick. Nodding. Pleased.
Hash: 26964482, Key: Line152.B6840, Value: Hm. Good price.
Hash: 7D91E9EF, Key: VoiceDir152.B6840, Value: Quick. Nodding. Pleased.
Hash: 0D84FAC5, Key: Line155.B6840, Value: Very nice.
Hash: 6480A032, Key: VoiceDir155.B6840, Value: Quick. Nodding. Pleased.
Hash: 78E3A035, Key: Line160.B685C, Value: That's good for me.
Hash: CFDF45A2, Key: VoiceDir160.B685C, Value: Quick. Nodding. Mild.
Hash: 5FD25678, Key: Line163.B685C, Value: You have a deal.
Hash: B6CDFBE5, Key: VoiceDir163.B685C, Value: Quick. Nodding. Mild.
Hash: 46C10CBB, Key: Line166.B685C, Value: Ehh, why not?
Hash: 9DBCB228, Key: VoiceDir166.B685C, Value: Quick. Shrugging. Mild.
Hash: B21FB1DA, Key: Line171.B685F, Value: That's good for me.
Hash: 091B5747, Key: VoiceDir171.B685F, Value: Quick. Nodding. Pleased.
Hash: 990E681D, Key: Line174.B685F, Value: You have a deal.
Hash: F00A0D8A, Key: VoiceDir174.B685F, Value: Quick. Nodding. Pleased.
Hash: 7FFD1E60, Key: Line177.B685F, Value: Ehh, why not?
Hash: D6F8C3CD, Key: VoiceDir177.B685F, Value: Quick. Shrugging. Mild.
Hash: EB5BC34D, Key: Line182.B6857, Value: Ahh, good trade.
Hash: 425768BA, Key: VoiceDir182.B6857, Value: Quick. Nodding. Pleased.
Hash: D24A7990, Key: Line185.B6857, Value: Alright. Deal.
Hash: 29461EFD, Key: VoiceDir185.B6857, Value: Quick. Nodding. Pleased.
Hash: B9392FD3, Key: Line188.B6857, Value: I'll take that.
Hash: 1034D540, Key: VoiceDir188.B6857, Value: Quick. Nodding. Pleased.
Hash: 2497D519, Key: Line193.B685A, Value: Ahh, good trade.
Hash: 7B937A86, Key: VoiceDir193.B685A, Value: Quick. Nodding. Pleased.
Hash: 0B868B5C, Key: Line196.B685A, Value: Alright. Deal.
Hash: 628230C9, Key: VoiceDir196.B685A, Value: Quick. Nodding. Pleased.
Hash: F275419F, Key: Line199.B685A, Value: I'll take that.
Hash: 4970E70C, Key: VoiceDir199.B685A, Value: Quick. Nodding. Pleased.
Hash: 0A362A15, Key: Line226.B684A, Value: Hm. Decent value.
Hash: 6131CF82, Key: VoiceDir226.B684A, Value: Quick. Nodding. Mild.
Hash: F124E058, Key: Line229.B684A, Value: I thank you.
Hash: 482085C5, Key: VoiceDir229.B684A, Value: Quick. Nodding. Mild.
Hash: C28F0BF2, Key: Line232.B684A, Value: This, I can sell.
Hash: 198AB15F, Key: VoiceDir232.B684A, Value: Quick. Nodding. Mild.
Hash: 43723BBA, Key: Line237.B684D, Value: Hm. Decent value.
Hash: 9A6DE127, Key: VoiceDir237.B684D, Value: Quick. Nodding. Mild.
Hash: 14DC6754, Key: Line240.B684D, Value: I thank you.
Hash: 6BD80CC1, Key: VoiceDir240.B684D, Value: Quick. Nodding. Mild.
Hash: FBCB1D97, Key: Line243.B684D, Value: This, I can sell.
Hash: 52C6C304, Key: VoiceDir243.B684D, Value: Quick. Nodding. Mild.
Hash: 7CAE4D90, Key: Line248.B6875, Value: Very well. Here is your coin.
Hash: D3A9F2FD, Key: VoiceDir248.B6875, Value: Quick. Nodding. Pleased.
Hash: 4E18792A, Key: Line251.B6875, Value: Fair trade.
Hash: A5141E97, Key: VoiceDir251.B6875, Value: Quick. Nodding. Pleased.
Hash: 35072F6D, Key: Line254.B6875, Value: That is a bargain.
Hash: 8C02D4DA, Key: VoiceDir254.B6875, Value: Quick. Nodding. Pleased.
Hash: B5EA5F30, Key: Line259.B6873, Value: Very well. Here is your coin.
Hash: 0CE6049D, Key: VoiceDir259.B6873, Value: Quick. Nodding. Pleased.
Hash: 87548ACA, Key: Line262.B6873, Value: Fair trade.
Hash: DE503037, Key: VoiceDir262.B6873, Value: Quick. Nodding. Pleased.
Hash: 6E43410D, Key: Line265.B6873, Value: That is a bargain.
Hash: C53EE67A, Key: VoiceDir265.B6873, Value: Quick. Nodding. Pleased.
Hash: D9A062DA, Key: Line270.B2A4B, Value: Good deal. Father bless.
Hash: 309C0847, Key: VoiceDir270.B2A4B, Value: Accepting goods from the player. Agreement.
Hash: C08F191D, Key: Line273.B2A4B, Value: I'll take it.
Hash: 178ABE8A, Key: VoiceDir273.B2A4B, Value: Accepting goods from the player. Agreement.
Hash: A77DCF60, Key: Line276.B2A4B, Value: Good. What else you got?
Hash: FE7974CD, Key: VoiceDir276.B2A4B, Value: Accepting goods from the player. Agreement.
Hash: 4C188652, Key: Line292.B2A73, Value: Good deal. Father bless.
Hash: A3142BBF, Key: VoiceDir292.B2A73, Value: Accepting goods from the player. Agreement.
Hash: 33073C95, Key: Line295.B2A73, Value: I'll take it.
Hash: 8A02E202, Key: VoiceDir295.B2A73, Value: Accepting goods from the player. Agreement.
Hash: 19F5F2D8, Key: Line298.B2A73, Value: Good. What else you got?
Hash: 70F19845, Key: VoiceDir298.B2A73, Value: Accepting goods from the player. Agreement.
Hash: 254A3E76, Key: Line301.B2A4C, Value: Fair trade.
Hash: 7C45E3E3, Key: VoiceDir301.B2A4C, Value: Accepting goods from the player. Agreement.
Hash: 0C38F4B9, Key: Line304.B2A4C, Value: Blessings. Anything else?
Hash: 63349A26, Key: VoiceDir304.B2A4C, Value: Accepting goods from the player. Agreement.
Hash: F327AAFC, Key: Line307.B2A4C, Value: Well struck.
Hash: 4A235069, Key: VoiceDir307.B2A4C, Value: Accepting goods from the player. Agreement.
Hash: 5E865050, Key: Line312.B2A78, Value: Fair trade.
Hash: B581F5BD, Key: VoiceDir312.B2A78, Value: Accepting goods from the player. Agreement.
Hash: 45750693, Key: Line315.B2A78, Value: Blessings. Anything else?
Hash: 9C70AC00, Key: VoiceDir315.B2A78, Value: Accepting goods from the player. Agreement.
Hash: 2C63BCD6, Key: Line318.B2A78, Value: Well struck.
Hash: 835F6243, Key: VoiceDir318.B2A78, Value: Accepting goods from the player. Agreement.
Hash: 97C261BD, Key: Line323.B2A4F, Value: Mm. Good trade.
Hash: EEBE072A, Key: VoiceDir323.B2A4F, Value: Accepting goods from the player. Agreement.
Hash: 7EB11800, Key: Line326.B2A4F, Value: That'll do.
Hash: D5ACBD6D, Key: VoiceDir326.B2A4F, Value: Accepting goods from the player. Agreement.
Hash: 659FCE43, Key: Line329.B2A4F, Value: Fair deal.
Hash: BC9B73B0, Key: VoiceDir329.B2A4F, Value: Accepting goods from the player. Agreement.
Hash: D0FE7393, Key: Line334.B2A77, Value: Mm. Good trade.
Hash: 27FA1900, Key: VoiceDir334.B2A77, Value: Accepting goods from the player. Agreement.
Hash: B7ED29D6, Key: Line337.B2A77, Value: That'll do.
Hash: 0EE8CF43, Key: VoiceDir337.B2A77, Value: Accepting goods from the player. Agreement.
Hash: 89575570, Key: Line340.B2A77, Value: Fair deal.
Hash: E052FADD, Key: VoiceDir340.B2A77, Value: Accepting goods from the player. Agreement.
Hash: 7CB2A839, Key: Line367.B2A59, Value: Very good, thank you.
