Hash: 003DFCC1, Key: Name, Value: The Old Ways
Hash: 0871A46B, Key: Toast, Value: Find a way to cleanse the corruption in the Dark Thicket.
Hash: 1EADAE68, Key: Callback2Header, Value: Speak to Scholar Yuein
Hash: 803B8057, Key: Phase20Description, Value: I have the scroll.  I should return to Shob'ha so she can prepare the ritual.
Hash: ED76B060, Key: Callback19Header, Value: Bring Yuein's Transcription to Shob'ha
Hash: 1315987A, Key: Phase23Description, Value: The ritual scroll I seek is housed in the old druid archives beneath Túr Dúlra.  Unfortunately that area has been overrun by demons following Astaroth's attack. 
Hash: 83A65A9D, Key: Callback52Header, Value: Enter the Lair of the Despoiler
Hash: B1D3AB7C, Key: Phase43Description, Value: I need to take the corrupted bear heart to Scholar Yuein in Túr Dúlra and explain the situation.
Hash: 976485BC, Key: Callback42Header, Value: Take the corrupted bear heart
Hash: 5091BE7E, Key: Phase63Description, Value: The ritual scroll is gone but Scholar Yuein can recreate it from the druid stones inside the Lair.  I should speak to him at the tree to get a copy.
Hash: 56D6E5C1, Key: Callback65Header, Value: Get {ITEM} from Scholar Yuein
Hash: 45529163, Key: Phase68Description, Value: I need to take the corrupted bear heart to Scholar Yuein in Túr Dúlra and explain the situation.
